material_id,material_name,formula,material_family,material_subfamily,family,source_dataset,source_type,source_trust_score,used_for_ml_training,model_registry_eligible,application_subsystem,recommendation_basis,engineer_reviewed,shear_modulus_gpa,notes
matbench_log_gvrh_00000,matbench_log_gvrh_0,matbench_log_gvrh_0,Matbench material,matbench_log_gvrh,Matbench material,matbench_log_gvrh,public_benchmark,85,False,True,General Material Reuse,benchmark/reference screening,False,28.0,Matbench reference row from matbench_log_gvrh; benchmark/reference screening.
matbench_log_gvrh_00011,matbench_log_gvrh_11,matbench_log_gvrh_11,Matbench material,matbench_log_gvrh,Matbench material,matbench_log_gvrh,public_benchmark,85,False,True,General Material Reuse,benchmark/reference screening,False,6.0,Matbench reference row from matbench_log_gvrh; benchmark/reference screening.
matbench_log_gvrh_00012,matbench_log_gvrh_12,matbench_log_gvrh_12,Matbench material,matbench_log_gvrh,Matbench material,matbench_log_gvrh,public_benchmark,85,False,True,General Material Reuse,benchmark/reference screening,False,12.000000000000002,Matbench reference row from matbench_log_gvrh; benchmark/reference screening.
matbench_log_gvrh_00013,matbench_log_gvrh_13,matbench_log_gvrh_13,Matbench material,matbench_log_gvrh,Matbench material,matbench_log_gvrh,public_benchmark,85,False,True,General Material Reuse,benchmark/reference screening,False,118.00000000000003,Matbench reference row from matbench_log_gvrh; benchmark/reference screening.
matbench_log_gvrh_00014,matbench_log_gvrh_14,matbench_log_gvrh_14,Matbench material,matbench_log_gvrh,Matbench material,matbench_log_gvrh,public_benchmark,85,False,True,General Material Reuse,benchmark/reference screening,False,13.999999999999998,Matbench reference row from matbench_log_gvrh; benchmark/reference screening.
matbench_log_gvrh_00015,matbench_log_gvrh_15,matbench_log_gvrh_15,Matbench material,matbench_log_gvrh,Matbench material,matbench_log_gvrh,public_benchmark,85,False,True,General Material Reuse,benchmark/reference screening,False,75.00000000000001,Matbench reference row from matbench_log_gvrh; benchmark/reference screening.
matbench_log_gvrh_00016,matbench_log_gvrh_16,matbench_log_gvrh_16,Matbench material,matbench_log_gvrh,Matbench material,matbench_log_gvrh,public_benchmark,85,False,True,General Material Reuse,benchmark/reference screening,False,12.000000000000002,Matbench reference row from matbench_log_gvrh; benchmark/reference screening.
matbench_log_gvrh_00017,matbench_log_gvrh_17,matbench_log_gvrh_17,Matbench material,matbench_log_gvrh,Matbench material,matbench_log_gvrh,public_benchmark,85,False,True,General Material Reuse,benchmark/reference screening,False,13.999999999999998,Matbench reference row from matbench_log_gvrh; benchmark/reference screening.
matbench_log_gvrh_00018,matbench_log_gvrh_18,matbench_log_gvrh_18,Matbench material,matbench_log_gvrh,Matbench material,matbench_log_gvrh,public_benchmark,85,False,True,General Material Reuse,benchmark/reference screening,False,44.0,Matbench reference row from matbench_log_gvrh; benchmark/reference screening.
matbench_log_gvrh_00019,matbench_log_gvrh_19,matbench_log_gvrh_19,Matbench material,matbench_log_gvrh,Matbench material,matbench_log_gvrh,public_benchmark,85,False,True,General Material Reuse,benchmark/reference screening,False,5.000000000000001,Matbench reference row from matbench_log_gvrh; benchmark/reference screening.
matbench_log_gvrh_00020,matbench_log_gvrh_20,matbench_log_gvrh_20,Matbench material,matbench_log_gvrh,Matbench material,matbench_log_gvrh,public_benchmark,85,False,True,General Material Reuse,benchmark/reference screening,False,21.999999999999996,Matbench reference row from matbench_log_gvrh; benchmark/reference screening.
matbench_log_gvrh_00021,matbench_log_gvrh_21,matbench_log_gvrh_21,Matbench material,matbench_log_gvrh,Matbench material,matbench_log_gvrh,public_benchmark,85,False,True,General Material Reuse,benchmark/reference screening,False,100.0,Matbench reference row from matbench_log_gvrh; benchmark/reference screening.
matbench_log_gvrh_00022,matbench_log_gvrh_22,matbench_log_gvrh_22,Matbench material,matbench_log_gvrh,Matbench material,matbench_log_gvrh,public_benchmark,85,False,True,General Material Reuse,benchmark/reference screening,False,47.99999999999999,Matbench reference row from matbench_log_gvrh; benchmark/reference screening.
matbench_log_gvrh_00023,matbench_log_gvrh_23,matbench_log_gvrh_23,Matbench material,matbench_log_gvrh,Matbench material,matbench_log_gvrh,public_benchmark,85,False,True,General Material Reuse,benchmark/reference screening,False,22.999999999999996,Matbench reference row from matbench_log_gvrh; benchmark/reference screening.
matbench_log_gvrh_00024,matbench_log_gvrh_24,matbench_log_gvrh_24,Matbench material,matbench_log_gvrh,Matbench material,matbench_log_gvrh,public_benchmark,85,False,True,General Material Reuse,benchmark/reference screening,False,18.999999999999996,Matbench reference row from matbench_log_gvrh; benchmark/reference screening.
matbench_log_gvrh_00025,matbench_log_gvrh_25,matbench_log_gvrh_25,Matbench material,matbench_log_gvrh,Matbench material,matbench_log_gvrh,public_benchmark,85,False,True,General Material Reuse,benchmark/reference screening,False,35.0,Matbench reference row from matbench_log_gvrh; benchmark/reference screening.
matbench_log_gvrh_00026,matbench_log_gvrh_26,matbench_log_gvrh_26,Matbench material,matbench_log_gvrh,Matbench material,matbench_log_gvrh,public_benchmark,85,False,True,General Material Reuse,benchmark/reference screening,False,17.999999999999996,Matbench reference row from matbench_log_gvrh; benchmark/reference screening.
matbench_log_gvrh_00027,matbench_log_gvrh_27,matbench_log_gvrh_27,Matbench material,matbench_log_gvrh,Matbench material,matbench_log_gvrh,public_benchmark,85,False,True,General Material Reuse,benchmark/reference screening,False,50.999999999999986,Matbench reference row from matbench_log_gvrh; benchmark/reference screening.
matbench_log_gvrh_00028,matbench_log_gvrh_28,matbench_log_gvrh_28,Matbench material,matbench_log_gvrh,Matbench material,matbench_log_gvrh,public_benchmark,85,False,True,General Material Reuse,benchmark/reference screening,False,21.999999999999996,Matbench reference row from matbench_log_gvrh; benchmark/reference screening.
matbench_log_gvrh_00029,matbench_log_gvrh_29,matbench_log_gvrh_29,Matbench material,matbench_log_gvrh,Matbench material,matbench_log_gvrh,public_benchmark,85,False,True,General Material Reuse,benchmark/reference screening,False,26.0,Matbench reference row from matbench_log_gvrh; benchmark/reference screening.
matbench_log_gvrh_00030,matbench_log_gvrh_30,matbench_log_gvrh_30,Matbench material,matbench_log_gvrh,Matbench material,matbench_log_gvrh,public_benchmark,85,False,True,General Material Reuse,benchmark/reference screening,False,28.0,Matbench reference row from matbench_log_gvrh; benchmark/reference screening.
matbench_log_gvrh_00031,matbench_log_gvrh_31,matbench_log_gvrh_31,Matbench material,matbench_log_gvrh,Matbench material,matbench_log_gvrh,public_benchmark,85,False,True,General Material Reuse,benchmark/reference screening,False,52.00000000000001,Matbench reference row from matbench_log_gvrh; benchmark/reference screening.
matbench_log_gvrh_00032,matbench_log_gvrh_32,matbench_log_gvrh_32,Matbench material,matbench_log_gvrh,Matbench material,matbench_log_gvrh,public_benchmark,85,False,True,General Material Reuse,benchmark/reference screening,False,35.0,Matbench reference row from matbench_log_gvrh; benchmark/reference screening.
matbench_log_gvrh_00033,matbench_log_gvrh_33,matbench_log_gvrh_33,Matbench material,matbench_log_gvrh,Matbench material,matbench_log_gvrh,public_benchmark,85,False,True,General Material Reuse,benchmark/reference screening,False,7.999999999999999,Matbench reference row from matbench_log_gvrh; benchmark/reference screening.
matbench_log_gvrh_00034,matbench_log_gvrh_34,matbench_log_gvrh_34,Matbench material,matbench_log_gvrh,Matbench material,matbench_log_gvrh,public_benchmark,85,False,True,General Material Reuse,benchmark/reference screening,False,11.000000000000002,Matbench reference row from matbench_log_gvrh; benchmark/reference screening.
matbench_log_gvrh_00035,matbench_log_gvrh_35,matbench_log_gvrh_35,Matbench material,matbench_log_gvrh,Matbench material,matbench_log_gvrh,public_benchmark,85,False,True,General Material Reuse,benchmark/reference screening,False,34.0,Matbench reference row from matbench_log_gvrh; benchmark/reference screening.
matbench_log_gvrh_00036,matbench_log_gvrh_36,matbench_log_gvrh_36,Matbench material,matbench_log_gvrh,Matbench material,matbench_log_gvrh,public_benchmark,85,False,True,General Material Reuse,benchmark/reference screening,False,13.999999999999998,Matbench reference row from matbench_log_gvrh; benchmark/reference screening.
matbench_log_gvrh_00037,matbench_log_gvrh_37,matbench_log_gvrh_37,Matbench material,matbench_log_gvrh,Matbench material,matbench_log_gvrh,public_benchmark,85,False,True,General Material Reuse,benchmark/reference screening,False,25.000000000000007,Matbench reference row from matbench_log_gvrh; benchmark/reference screening.
matbench_log_gvrh_00038,matbench_log_gvrh_38,matbench_log_gvrh_38,Matbench material,matbench_log_gvrh,Matbench material,matbench_log_gvrh,public_benchmark,85,False,True,General Material Reuse,benchmark/reference screening,False,115.00000000000003,Matbench reference row from matbench_log_gvrh; benchmark/reference screening.
matbench_log_gvrh_00039,matbench_log_gvrh_39,matbench_log_gvrh_39,Matbench material,matbench_log_gvrh,Matbench material,matbench_log_gvrh,public_benchmark,85,False,True,General Material Reuse,benchmark/reference screening,False,48.99999999999999,Matbench reference row from matbench_log_gvrh; benchmark/reference screening.
matbench_log_gvrh_00040,matbench_log_gvrh_40,matbench_log_gvrh_40,Matbench material,matbench_log_gvrh,Matbench material,matbench_log_gvrh,public_benchmark,85,False,True,General Material Reuse,benchmark/reference screening,False,29.0,Matbench reference row from matbench_log_gvrh; benchmark/reference screening.
matbench_log_gvrh_00041,matbench_log_gvrh_41,matbench_log_gvrh_41,Matbench material,matbench_log_gvrh,Matbench material,matbench_log_gvrh,public_benchmark,85,False,True,General Material Reuse,benchmark/reference screening,False,5.000000000000001,Matbench reference row from matbench_log_gvrh; benchmark/reference screening.
matbench_log_gvrh_00042,matbench_log_gvrh_42,matbench_log_gvrh_42,Matbench material,matbench_log_gvrh,Matbench material,matbench_log_gvrh,public_benchmark,85,False,True,General Material Reuse,benchmark/reference screening,False,5.000000000000001,Matbench reference row from matbench_log_gvrh; benchmark/reference screening.
matbench_log_gvrh_00043,matbench_log_gvrh_43,matbench_log_gvrh_43,Matbench material,matbench_log_gvrh,Matbench material,matbench_log_gvrh,public_benchmark,85,False,True,General Material Reuse,benchmark/reference screening,False,37.99999999999999,Matbench reference row from matbench_log_gvrh; benchmark/reference screening.
matbench_log_gvrh_00044,matbench_log_gvrh_44,matbench_log_gvrh_44,Matbench material,matbench_log_gvrh,Matbench material,matbench_log_gvrh,public_benchmark,85,False,True,General Material Reuse,benchmark/reference screening,False,63.0,Matbench reference row from matbench_log_gvrh; benchmark/reference screening.
matbench_log_gvrh_00045,matbench_log_gvrh_45,matbench_log_gvrh_45,Matbench material,matbench_log_gvrh,Matbench material,matbench_log_gvrh,public_benchmark,85,False,True,General Material Reuse,benchmark/reference screening,False,60.0,Matbench reference row from matbench_log_gvrh; benchmark/reference screening.
matbench_log_gvrh_00046,matbench_log_gvrh_46,matbench_log_gvrh_46,Matbench material,matbench_log_gvrh,Matbench material,matbench_log_gvrh,public_benchmark,85,False,True,General Material Reuse,benchmark/reference screening,False,44.0,Matbench reference row from matbench_log_gvrh; benchmark/reference screening.
matbench_log_gvrh_00047,matbench_log_gvrh_47,matbench_log_gvrh_47,Matbench material,matbench_log_gvrh,Matbench material,matbench_log_gvrh,public_benchmark,85,False,True,General Material Reuse,benchmark/reference screening,False,88.00000000000001,Matbench reference row from matbench_log_gvrh; benchmark/reference screening.
matbench_log_gvrh_00048,matbench_log_gvrh_48,matbench_log_gvrh_48,Matbench material,matbench_log_gvrh,Matbench material,matbench_log_gvrh,public_benchmark,85,False,True,General Material Reuse,benchmark/reference screening,False,57.00000000000001,Matbench reference row from matbench_log_gvrh; benchmark/reference screening.
matbench_log_gvrh_00049,matbench_log_gvrh_49,matbench_log_gvrh_49,Matbench material,matbench_log_gvrh,Matbench material,matbench_log_gvrh,public_benchmark,85,False,True,General Material Reuse,benchmark/reference screening,False,52.999999999999986,Matbench reference row from matbench_log_gvrh; benchmark/reference screening.
matbench_log_gvrh_00050,matbench_log_gvrh_50,matbench_log_gvrh_50,Matbench material,matbench_log_gvrh,Matbench material,matbench_log_gvrh,public_benchmark,85,False,True,General Material Reuse,benchmark/reference screening,False,12.000000000000002,Matbench reference row from matbench_log_gvrh; benchmark/reference screening.
matbench_log_gvrh_00051,matbench_log_gvrh_51,matbench_log_gvrh_51,Matbench material,matbench_log_gvrh,Matbench material,matbench_log_gvrh,public_benchmark,85,False,True,General Material Reuse,benchmark/reference screening,False,52.999999999999986,Matbench reference row from matbench_log_gvrh; benchmark/reference screening.
matbench_log_gvrh_00052,matbench_log_gvrh_52,matbench_log_gvrh_52,Matbench material,matbench_log_gvrh,Matbench material,matbench_log_gvrh,public_benchmark,85,False,True,General Material Reuse,benchmark/reference screening,False,18.999999999999996,Matbench reference row from matbench_log_gvrh; benchmark/reference screening.
matbench_log_gvrh_00053,matbench_log_gvrh_53,matbench_log_gvrh_53,Matbench material,matbench_log_gvrh,Matbench material,matbench_log_gvrh,public_benchmark,85,False,True,General Material Reuse,benchmark/reference screening,False,50.999999999999986,Matbench reference row from matbench_log_gvrh; benchmark/reference screening.
matbench_log_gvrh_00054,matbench_log_gvrh_54,matbench_log_gvrh_54,Matbench material,matbench_log_gvrh,Matbench material,matbench_log_gvrh,public_benchmark,85,False,True,General Material Reuse,benchmark/reference screening,False,49.99999999999999,Matbench reference row from matbench_log_gvrh; benchmark/reference screening.
matbench_log_gvrh_00055,matbench_log_gvrh_55,matbench_log_gvrh_55,Matbench material,matbench_log_gvrh,Matbench material,matbench_log_gvrh,public_benchmark,85,False,True,General Material Reuse,benchmark/reference screening,False,47.99999999999999,Matbench reference row from matbench_log_gvrh; benchmark/reference screening.
matbench_log_gvrh_00056,matbench_log_gvrh_56,matbench_log_gvrh_56,Matbench material,matbench_log_gvrh,Matbench material,matbench_log_gvrh,public_benchmark,85,False,True,General Material Reuse,benchmark/reference screening,False,90.00000000000003,Matbench reference row from matbench_log_gvrh; benchmark/reference screening.
matbench_log_gvrh_00057,matbench_log_gvrh_57,matbench_log_gvrh_57,Matbench material,matbench_log_gvrh,Matbench material,matbench_log_gvrh,public_benchmark,85,False,True,General Material Reuse,benchmark/reference screening,False,100.0,Matbench reference row from matbench_log_gvrh; benchmark/reference screening.
matbench_log_gvrh_00058,matbench_log_gvrh_58,matbench_log_gvrh_58,Matbench material,matbench_log_gvrh,Matbench material,matbench_log_gvrh,public_benchmark,85,False,True,General Material Reuse,benchmark/reference screening,False,1.0,Matbench reference row from matbench_log_gvrh; benchmark/reference screening.
matbench_log_gvrh_00059,matbench_log_gvrh_59,matbench_log_gvrh_59,Matbench material,matbench_log_gvrh,Matbench material,matbench_log_gvrh,public_benchmark,85,False,True,General Material Reuse,benchmark/reference screening,False,36.0,Matbench reference row from matbench_log_gvrh; benchmark/reference screening.
matbench_log_gvrh_00060,matbench_log_gvrh_60,matbench_log_gvrh_60,Matbench material,matbench_log_gvrh,Matbench material,matbench_log_gvrh,public_benchmark,85,False,True,General Material Reuse,benchmark/reference screening,False,37.99999999999999,Matbench reference row from matbench_log_gvrh; benchmark/reference screening.
matbench_log_gvrh_00061,matbench_log_gvrh_61,matbench_log_gvrh_61,Matbench material,matbench_log_gvrh,Matbench material,matbench_log_gvrh,public_benchmark,85,False,True,General Material Reuse,benchmark/reference screening,False,28.0,Matbench reference row from matbench_log_gvrh; benchmark/reference screening.
matbench_log_gvrh_00062,matbench_log_gvrh_62,matbench_log_gvrh_62,Matbench material,matbench_log_gvrh,Matbench material,matbench_log_gvrh,public_benchmark,85,False,True,General Material Reuse,benchmark/reference screening,False,29.999999999999996,Matbench reference row from matbench_log_gvrh; benchmark/reference screening.
matbench_log_gvrh_00063,matbench_log_gvrh_63,matbench_log_gvrh_63,Matbench material,matbench_log_gvrh,Matbench material,matbench_log_gvrh,public_benchmark,85,False,True,General Material Reuse,benchmark/reference screening,False,146.00000000000003,Matbench reference row from matbench_log_gvrh; benchmark/reference screening.
matbench_log_gvrh_00064,matbench_log_gvrh_64,matbench_log_gvrh_64,Matbench material,matbench_log_gvrh,Matbench material,matbench_log_gvrh,public_benchmark,85,False,True,General Material Reuse,benchmark/reference screening,False,21.0,Matbench reference row from matbench_log_gvrh; benchmark/reference screening.
matbench_log_gvrh_00065,matbench_log_gvrh_65,matbench_log_gvrh_65,Matbench material,matbench_log_gvrh,Matbench material,matbench_log_gvrh,public_benchmark,85,False,True,General Material Reuse,benchmark/reference screening,False,70.00000000000001,Matbench reference row from matbench_log_gvrh; benchmark/reference screening.
matbench_log_gvrh_00066,matbench_log_gvrh_66,matbench_log_gvrh_66,Matbench material,matbench_log_gvrh,Matbench material,matbench_log_gvrh,public_benchmark,85,False,True,General Material Reuse,benchmark/reference screening,False,33.0,Matbench reference row from matbench_log_gvrh; benchmark/reference screening.
matbench_log_gvrh_00067,matbench_log_gvrh_67,matbench_log_gvrh_67,Matbench material,matbench_log_gvrh,Matbench material,matbench_log_gvrh,public_benchmark,85,False,True,General Material Reuse,benchmark/reference screening,False,11.000000000000002,Matbench reference row from matbench_log_gvrh; benchmark/reference screening.
matbench_log_gvrh_00068,matbench_log_gvrh_68,matbench_log_gvrh_68,Matbench material,matbench_log_gvrh,Matbench material,matbench_log_gvrh,public_benchmark,85,False,True,General Material Reuse,benchmark/reference screening,False,25.000000000000007,Matbench reference row from matbench_log_gvrh; benchmark/reference screening.
matbench_log_gvrh_00069,matbench_log_gvrh_69,matbench_log_gvrh_69,Matbench material,matbench_log_gvrh,Matbench material,matbench_log_gvrh,public_benchmark,85,False,True,General Material Reuse,benchmark/reference screening,False,26.0,Matbench reference row from matbench_log_gvrh; benchmark/reference screening.
matbench_log_gvrh_00070,matbench_log_gvrh_70,matbench_log_gvrh_70,Matbench material,matbench_log_gvrh,Matbench material,matbench_log_gvrh,public_benchmark,85,False,True,General Material Reuse,benchmark/reference screening,False,7.0,Matbench reference row from matbench_log_gvrh; benchmark/reference screening.
matbench_log_gvrh_00071,matbench_log_gvrh_71,matbench_log_gvrh_71,Matbench material,matbench_log_gvrh,Matbench material,matbench_log_gvrh,public_benchmark,85,False,True,General Material Reuse,benchmark/reference screening,False,13.999999999999998,Matbench reference row from matbench_log_gvrh; benchmark/reference screening.
matbench_log_gvrh_00072,matbench_log_gvrh_72,matbench_log_gvrh_72,Matbench material,matbench_log_gvrh,Matbench material,matbench_log_gvrh,public_benchmark,85,False,True,General Material Reuse,benchmark/reference screening,False,36.0,Matbench reference row from matbench_log_gvrh; benchmark/reference screening.
matbench_log_gvrh_00073,matbench_log_gvrh_73,matbench_log_gvrh_73,Matbench material,matbench_log_gvrh,Matbench material,matbench_log_gvrh,public_benchmark,85,False,True,General Material Reuse,benchmark/reference screening,False,30.999999999999996,Matbench reference row from matbench_log_gvrh; benchmark/reference screening.
matbench_log_gvrh_00074,matbench_log_gvrh_74,matbench_log_gvrh_74,Matbench material,matbench_log_gvrh,Matbench material,matbench_log_gvrh,public_benchmark,85,False,True,General Material Reuse,benchmark/reference screening,False,37.99999999999999,Matbench reference row from matbench_log_gvrh; benchmark/reference screening.
matbench_log_gvrh_00075,matbench_log_gvrh_75,matbench_log_gvrh_75,Matbench material,matbench_log_gvrh,Matbench material,matbench_log_gvrh,public_benchmark,85,False,True,General Material Reuse,benchmark/reference screening,False,105.00000000000004,Matbench reference row from matbench_log_gvrh; benchmark/reference screening.
matbench_log_gvrh_00076,matbench_log_gvrh_76,matbench_log_gvrh_76,Matbench material,matbench_log_gvrh,Matbench material,matbench_log_gvrh,public_benchmark,85,False,True,General Material Reuse,benchmark/reference screening,False,38.99999999999999,Matbench reference row from matbench_log_gvrh; benchmark/reference screening.
matbench_log_gvrh_00077,matbench_log_gvrh_77,matbench_log_gvrh_77,Matbench material,matbench_log_gvrh,Matbench material,matbench_log_gvrh,public_benchmark,85,False,True,General Material Reuse,benchmark/reference screening,False,64.99999999999999,Matbench reference row from matbench_log_gvrh; benchmark/reference screening.
matbench_log_gvrh_00078,matbench_log_gvrh_78,matbench_log_gvrh_78,Matbench material,matbench_log_gvrh,Matbench material,matbench_log_gvrh,public_benchmark,85,False,True,General Material Reuse,benchmark/reference screening,False,42.99999999999999,Matbench reference row from matbench_log_gvrh; benchmark/reference screening.
matbench_log_gvrh_00079,matbench_log_gvrh_79,matbench_log_gvrh_79,Matbench material,matbench_log_gvrh,Matbench material,matbench_log_gvrh,public_benchmark,85,False,True,General Material Reuse,benchmark/reference screening,False,75.00000000000001,Matbench reference row from matbench_log_gvrh; benchmark/reference screening.
matbench_log_gvrh_00080,matbench_log_gvrh_80,matbench_log_gvrh_80,Matbench material,matbench_log_gvrh,Matbench material,matbench_log_gvrh,public_benchmark,85,False,True,General Material Reuse,benchmark/reference screening,False,52.999999999999986,Matbench reference row from matbench_log_gvrh; benchmark/reference screening.
matbench_log_gvrh_00081,matbench_log_gvrh_81,matbench_log_gvrh_81,Matbench material,matbench_log_gvrh,Matbench material,matbench_log_gvrh,public_benchmark,85,False,True,General Material Reuse,benchmark/reference screening,False,95.00000000000001,Matbench reference row from matbench_log_gvrh; benchmark/reference screening.
matbench_log_gvrh_00082,matbench_log_gvrh_82,matbench_log_gvrh_82,Matbench material,matbench_log_gvrh,Matbench material,matbench_log_gvrh,public_benchmark,85,False,True,General Material Reuse,benchmark/reference screening,False,21.0,Matbench reference row from matbench_log_gvrh; benchmark/reference screening.
matbench_log_gvrh_00083,matbench_log_gvrh_83,matbench_log_gvrh_83,Matbench material,matbench_log_gvrh,Matbench material,matbench_log_gvrh,public_benchmark,85,False,True,General Material Reuse,benchmark/reference screening,False,64.99999999999999,Matbench reference row from matbench_log_gvrh; benchmark/reference screening.
matbench_log_gvrh_00084,matbench_log_gvrh_84,matbench_log_gvrh_84,Matbench material,matbench_log_gvrh,Matbench material,matbench_log_gvrh,public_benchmark,85,False,True,General Material Reuse,benchmark/reference screening,False,9.0,Matbench reference row from matbench_log_gvrh; benchmark/reference screening.
matbench_log_gvrh_00085,matbench_log_gvrh_85,matbench_log_gvrh_85,Matbench material,matbench_log_gvrh,Matbench material,matbench_log_gvrh,public_benchmark,85,False,True,General Material Reuse,benchmark/reference screening,False,11.000000000000002,Matbench reference row from matbench_log_gvrh; benchmark/reference screening.
matbench_log_gvrh_00086,matbench_log_gvrh_86,matbench_log_gvrh_86,Matbench material,matbench_log_gvrh,Matbench material,matbench_log_gvrh,public_benchmark,85,False,True,General Material Reuse,benchmark/reference screening,False,6.0,Matbench reference row from matbench_log_gvrh; benchmark/reference screening.
matbench_log_gvrh_00087,matbench_log_gvrh_87,matbench_log_gvrh_87,Matbench material,matbench_log_gvrh,Matbench material,matbench_log_gvrh,public_benchmark,85,False,True,General Material Reuse,benchmark/reference screening,False,25.000000000000007,Matbench reference row from matbench_log_gvrh; benchmark/reference screening.
matbench_log_gvrh_00088,matbench_log_gvrh_88,matbench_log_gvrh_88,Matbench material,matbench_log_gvrh,Matbench material,matbench_log_gvrh,public_benchmark,85,False,True,General Material Reuse,benchmark/reference screening,False,16.0,Matbench reference row from matbench_log_gvrh; benchmark/reference screening.
matbench_log_gvrh_00089,matbench_log_gvrh_89,matbench_log_gvrh_89,Matbench material,matbench_log_gvrh,Matbench material,matbench_log_gvrh,public_benchmark,85,False,True,General Material Reuse,benchmark/reference screening,False,16.0,Matbench reference row from matbench_log_gvrh; benchmark/reference screening.
matbench_log_gvrh_00090,matbench_log_gvrh_90,matbench_log_gvrh_90,Matbench material,matbench_log_gvrh,Matbench material,matbench_log_gvrh,public_benchmark,85,False,True,General Material Reuse,benchmark/reference screening,False,109.99999999999997,Matbench reference row from matbench_log_gvrh; benchmark/reference screening.
matbench_log_gvrh_00091,matbench_log_gvrh_91,matbench_log_gvrh_91,Matbench material,matbench_log_gvrh,Matbench material,matbench_log_gvrh,public_benchmark,85,False,True,General Material Reuse,benchmark/reference screening,False,37.0,Matbench reference row from matbench_log_gvrh; benchmark/reference screening.
matbench_log_gvrh_00092,matbench_log_gvrh_92,matbench_log_gvrh_92,Matbench material,matbench_log_gvrh,Matbench material,matbench_log_gvrh,public_benchmark,85,False,True,General Material Reuse,benchmark/reference screening,False,39.99999999999999,Matbench reference row from matbench_log_gvrh; benchmark/reference screening.
matbench_log_gvrh_00093,matbench_log_gvrh_93,matbench_log_gvrh_93,Matbench material,matbench_log_gvrh,Matbench material,matbench_log_gvrh,public_benchmark,85,False,True,General Material Reuse,benchmark/reference screening,False,15.000000000000004,Matbench reference row from matbench_log_gvrh; benchmark/reference screening.
matbench_log_gvrh_00094,matbench_log_gvrh_94,matbench_log_gvrh_94,Matbench material,matbench_log_gvrh,Matbench material,matbench_log_gvrh,public_benchmark,85,False,True,General Material Reuse,benchmark/reference screening,False,38.99999999999999,Matbench reference row from matbench_log_gvrh; benchmark/reference screening.
